facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
LL040892,Mbwatalika,Centrals West Zone,NA,Health Centre,-14.00387,33.5507,31783,121434
NS300893,Mchacha James,South East Zone,NA,Health Post,-16.76255,35.04739,2996,5650
RU140894,Mchenga,North Zone,NA,Clinic,-10.69957,34.14036,6486,22801
KU070895,Mchenga Private Clinic,Central East Zone,NA,Clinic,-12.575035,33.514531,22003,63880
TH310896,Mchima,South East Zone,NA,Health Post,-16.11388,35.14018,35607,136180
CP060897,Mchina,North Zone,NA,Health Post,-10.309487,33.711544,1859,14151
MC010898,Mchinji,Centrals West Zone,NA,District Hospital,-13.80273,32.88716,33615,60657
SA090899,Mchoka,Central East Zone,NA,Health Centre,-13.92593,34.48984,29079,64667
BT240900,Mdeka,South East Zone,NA,Health Centre,-15.46769,34.94236,18918,66830
DE030901,Mdeza,Centrals West Zone,NA,Clinic,-14.2351461,33.967781,29099,117483
KU070902,Mdunga,Central East Zone,NA,Health Centre,-12.9931,33.8519,16373,51762
LL040903,Masm,Centrals West Zone,NA,Clinic,-13.96471,33.77771,361559,1246998
BT240904,City Health Clinic,South East Zone,NA,Clinic,-15.79648,35.00797,384438,866322
MG200906,Melbooh,South West Zone,NA,Clinic,-14.36,35.17,26346,49637
BT240907,Merit Clinic,South East Zone,NA,Clinic,-15.77927,35.04387,338219,917449
CK270909,Mfera,South East Zone,NA,Health Centre,-16.06818,34.86724,30640,92996
DE030910,Mganja,Centrals West Zone,NA,Health Centre,-14.42048,34.52305,9733,63064
MZ160911,Mgoza,North Zone,NA,Health Post,-12.67329,33.831326,6957,18298
MZ160912,Mhalaunda,North Zone,NA,Health Centre,-12.05118,33.46656,12759,40987
RU140914,Mhuju Rural Hospital,North Zone,NA,Hospital,-10.86685,33.99765,11982,32272
TH310916,Mianga Clinic,South East Zone,NA,Clinic,-16.09883,35.07553,39894,150832
RU140917,Kwa Gwamba,North Zone,NA,Clinic,-11.02,33.78,13610,62921
PH220920,Migowi,South West Zone,NA,Health Centre,-15.71922,35.68542,38510,126366
TH310922,Mikolongwe,South East Zone,NA,Health Centre,-15.90149,35.18367,45852,176827
DE030923,Mikondo,Centrals West Zone,NA,Health Centre,-14.44767,33.93951,17667,56214
TH310924,Mikundi,South East Zone,NA,Dispensary,-16.018751,35.125457,14758,166437
MC010925,Mikundi Health Centre,Centrals West Zone,NA,Health Centre,-13.70751,33.13821,19646,74965
ZA230926,Mikuyu,South West Zone,NA,Clinic,-15.41764,35.41968,29228,198472
CR260929,Milepa,South East Zone,NA,Health Centre,-15.68713,35.31818,33013,123785
MU210930,Milonde,South West Zone,NA,Health Centre,-16.1024462,35.4782637,34411,125124
MU210931,Mimosa,South West Zone,NA,Health Centre,-16.08574,35.61263,30252,107261
LL040932,Ming'ongo,Centrals West Zone,NA,Health Centre,-14.07479,33.44838,22363,109567
MU210933,Minimini,South West Zone,NA,Clinic,-16.05676,35.58444,32649,119162
NS300936,Bwangu,South East Zone,NA,Health Post,-16.76255,35.04739,2996,5650
MU210937,Misanjo,South West Zone,NA,Health Post,-16.0882744,35.4762189,41676,143053
CK270939,Misomali Health Centre,South East Zone,NA,Health Centre,-16.03775,34.5372,10150,28450
CP060941,Misuku,North Zone,NA,Health Centre,-9.67977,33.52076,8546,21769
TH310942,Mitengo Health Centre,South East Zone,NA,Health Centre,-16.11123,35.24591,36536,131671
CK270943,Mitondo,South East Zone,NA,Health Post,-16.26884,35.05789,24678,92250
ZA230944,Mitondo,South West Zone,NA,Dispensary,-15.5261,35.48619,30603,111302
LL040945,Mitundu,Centrals West Zone,NA,Hospital,-14.24776,33.77465,47929,140476
DE030946,Mjini,Centrals West Zone,NA,Health Centre,-14.044388,34.238785,19422,74024
MC010947,Mkanda,Centrals West Zone,NA,Health Centre,-13.5146,32.96085,24889,64573
NS300948,Mkango,South East Zone,NA,Clinic,-16.82472,35.30408,12682,26361
LL040949,Mphatso,Centrals West Zone,NA,Clinic,-14.03877,33.71063,165279,573363
KU070950,Mkhota,Central East Zone,NA,Health Centre,-13.56651,33.34348,13293,56983
NT080951,Mkhuzi,Central East Zone,NA,Health Centre,-13.3665599,33.7767254,18915,79446
PH220952,Mkhwayi,South West Zone,NA,Health Centre,-15.61457,35.62787,21969,98913
NK100953,Chisomo Pvt Clinic,Central East Zone,NA,Clinic,-12.50588,34.11234,27006,55035
MZ160954,Mkoma,North Zone,NA,Health Centre,-12.61235,33.7824,8913,26003
MG200955,Mkoma Kamanga Private Clinic,South West Zone,NA,Clinic,-14.08,34.92,13846,34943
MU210956,Nkomaula health centre,South West Zone,NA,Health Centre,-15.7211,35.36672,21783,98660
MG200957,Mkumba,South West Zone,NA,Clinic,-14.5946,35.52517,18610,59412
BT240958,L and A,South East Zone,NA,Clinic,-15.77528,35.04706,339745,915513
MC190959,Mkwepere,South West Zone,NA,Health Centre,-14.60286,35.63635,13407,62416
LL040960,Mkwinda,Centrals West Zone,NA,Health Post,-14.177537,33.748205,35115,148107
LL040961,Mlale,Centrals West Zone,NA,Hospital,-14.23011,33.75658,48698,145492
BT240962,Mlambe,South East Zone,NA,Hospital,-15.64466,35.01733,40953,137726
NT120963,Mlanda,Centrals West Zone,NA,Health Centre,-14.47886,34.45988,13794,42048
DE030964,Mlangali,Centrals West Zone,NA,Health Centre,-14.41322,34.27274,13363,53619
NT120965,Mlangeni,Centrals West Zone,NA,Clinic,-14.67662,34.53672,11471,39953
KA150966,Mlare,North Zone,NA,Health Centre,-10.173157,34.0358777,10309,20046
CP060967,Mulembe,North Zone,NA,Health Centre,-10.061782,33.377912,4646,8255
LL040968,Mlodza Seventhday Clinic,Centrals West Zone,NA,Clinic,-14.007222,33.8175,569623,914946
LL040969,Mlolera clinic,Centrals West Zone,NA,Clinic,-13.95102,33.76703,347955,1197592
NS300970,Mlolo,South East Zone,NA,Health Post,-16.41959,35.1525,22876,61911
MC190971,Mlomba,South West Zone,NA,Dispensary,-15.01903,35.47708,26922,91149
RU140972,Mlowe,North Zone,NA,Health Centre,-10.76429,34.19488,6416,17340
NT120973,Muluma,Centrals West Zone,NA,Dispensary,-14.71894,34.6355,24280,86027
NT080974,Mndinda,Central East Zone,NA,Health Centre,-13.2474,34.05675,9155,39352
LL040975,Ngwangwa,Centrals West Zone,NA,Health Post,-13.842277,33.684124,31540,206149
KU070976,Mnyanja,Central East Zone,NA,Health Centre,-12.722316,33.485857,19625,58094
LL040977,Ministry of Health Clinic,Centrals West Zone,NA,Clinic,-13.94628,33.78859,342383,1132988
TH310978,Molere,South East Zone,NA,Health Centre,-16.21758,35.13552,42089,143507
MC190979,Molipa,South West Zone,NA,Health Post,-15.051421,35.390936,11589,44998
DA020980,Mondwe,Central East Zone,NA,Health Post,-13.49199,33.443872,11861,57011
BT240981,Monekera,South East Zone,NA,Clinic,-15.835334,35.008318,238332,772499
MG200982,Monkey bay Community Hospital,South West Zone,NA,Hospital,-14.0846593,34.9107539,13931,38146
MW280983,MOTAL-ENGIL 301CLINIC,South East Zone,NA,Dispensary,-15.92823,35.07786,54170,229252
NE290984,Mota - Engil Zalewa Clinic,South East Zone,NA,Clinic,-15.41426,34.82429,11697,46606
MZ160986,Moyale,North Zone,NA,Health Centre,-11.4597562,34.0383107,151266,220014
BT240987,Moyo,South East Zone,NA,Clinic,-15.65374,35.02013,42621,175980
MZ160988,Moyo Uwemi,North Zone,NA,Clinic,-12.36,33.55,16723,40129
MU210989,kwa Gunde,South West Zone,NA,Health Centre,-16.1439048,35.5250625,21741,67623
CP060990,Mpale,North Zone,NA,Clinic,-10.1869,33.54168,4416,12123
NK100991,Mpamantha,Central East Zone,NA,Health Centre,-13.06926,34.25224,7669,43110
KB050992,Mpamba,North Zone,NA,Health Centre,-11.54697,34.19727,14546,45201
PH220993,Mpasa,South West Zone,NA,Health Centre,-15.7578844,35.611432,36493,149194
KU070994,Mpasadzi,Central East Zone,NA,Health Centre,-12.583194,33.381861,10859,41309
KA150995,Mpata,North Zone,NA,Health Centre,-9.96062,33.81525,9345,41291
CP060997,Mpemba,North Zone,NA,Health Post,-10.134558,33.521683,3822,11649
BT240998,Mpemba,South East Zone,NA,Health Centre,-15.87385,34.9523,38358,264459
KU070999,Mpepa,Central East Zone,NA,Clinic,-12.621965,33.326557,11376,34604
CK271000,Mphate,South East Zone,NA,Clinic,-16.0416555,34.7937221,29190,70984
DE031001,Mphathi,Centrals West Zone,NA,Health Centre,-14.45516,34.07683,16459,61120
NT121003,Mphepozinayi,Centrals West Zone,NA,Dispensary,-14.73586,34.66115,22811,99302
MZ161004,Mpherembe,North Zone,NA,Health Centre,-11.28806,33.61431,11338,26716
MZ161006,Mphofwa,North Zone,NA,Health Post,-11.680054,33.620114,8015,31469
RU141007,Mphompha,North Zone,NA,Health Centre,-11.00662,34.07305,4102,11472
DE031008,Mphunzi,Centrals West Zone,NA,Health Centre,-14.37933,34.17539,21175,72440
MC191010,Mpiri,South West Zone,NA,Health Centre,-14.7721997,35.606633,31924,121328
DE031011,Tchetsa,Centrals West Zone,NA,Health Post,-13.985608,34.306285,7466,29850
MG201012,Mpondasi,South West Zone,NA,Clinic,-14.45347,35.24387,70918,137328
DA021013,Mponela,Central East Zone,NA,Hospital,-13.53264,33.73713,42707,119704
MC191014,Mposa,South West Zone,NA,Health Centre,-15.14906,35.51849,11157,53650
DA021015,Msakambewa,Central East Zone,NA,Health Centre,-13.55296,33.89719,21370,74965
LL041016,Daeyang,Centrals West Zone,NA,Health Centre,-13.78,33.91,21453,108637
MC191017,Nselema,South West Zone,NA,Clinic,-14.72,35.55,33851,103201
NK101018,Msenjere,Central East Zone,NA,Health Centre,-12.7324996,34.1705763,12935,30914
MZ161019,Msese,North Zone,NA,Health Centre,-12.36,33.74,5495,20048
MU211020,msithe,South West Zone,NA,Health Post,-16.0026202,35.413573,43623,169486
CP061021,Msumbe,North Zone,NA,Health Centre,-9.75123,33.67563,1792,6537
DE031023,Mtakataka,Centrals West Zone,NA,Health Centre,-14.22745,34.51474,24655,62984
DA021024,mtambalika,Central East Zone,NA,Health Post,-13.277929,33.597239,16581,76589
MC011026,Mtanga,Centrals West Zone,NA,Health Post,-13.923819,33.26125,26617,95043
DE031028,Mtemwende,Centrals West Zone,NA,Health Post,-14.151969,34.264936,18497,87218
MZ161029,Mtende,North Zone,NA,Health Centre,-11.49724,33.54894,9077,34585
DE031030,Mtendere Community Hospital,Centrals West Zone,NA,Clinic,-14.32271,34.09373,30081,119145
KU071031,Mtendere,Central East Zone,NA,Clinic,-13.046124,33.49675,72152,114282
BT241032,Mtengoumodzi,South East Zone,NA,Hospital,-15.7245,35.01637,172205,576248
DA021033,Mtengowanthenga Dream Project,Central East Zone,NA,Clinic,-13.671048,33.776073,24934,108972
LL041034,Mtenthela,Centrals West Zone,NA,Health Centre,-14.10884,34.00567,32046,130188
DA021035,Mtengowanthenga,Central East Zone,NA,Hospital,-13.67165,33.77623,24919,109064
MG201036,Mtimabi,South West Zone,NA,Health Centre,-14.6110653,35.0826738,13550,42889
NT121037,Ntonda,Centrals West Zone,NA,Health Centre,-15.02,34.75144,13217,38676
NK101038,Mtosa,Central East Zone,NA,Health Centre,-13.43876,34.27365,18611,59793
KU071039,Mtunthama,Central East Zone,NA,Health Centre,-13.03145,33.68209,12534,40810
MZ161040,Mtwalo,North Zone,NA,Health Centre,-11.39671,33.74591,8995,32440
DE031041,Mua Mission hospital,Centrals West Zone,NA,Hospital,-14.28307,34.50972,23004,57794
SA091042,Muchila,Central East Zone,NA,Dispensary,-13.77774,34.43803,69900,127220
NE291043,Mufelanji Clinic,South East Zone,NA,Dispensary,-15.36514,34.65447,13146,38728
MU211044,Banja la mtsogolo,South West Zone,NA,Clinic,-16.01418,35.49317,43000,140683
MU211045,Mulanje Hospital,South West Zone,NA,Hospital,-16.02549,35.50785,40846,137308
MU211046,ku Ulongwe,South West Zone,NA,Hospital,-16.0208672,35.4646005,54545,159913
MG201047,Mulibwanji Community Hospital,South West Zone,NA,Hospital,-14.5115273,35.5880048,15555,58557
MU211048,Mulomba,South West Zone,NA,Health Centre,-15.76535,35.51182,32247,98704
MU211049,Muloza,South West Zone,NA,Health Centre,-16.08016,35.71573,35145,69089
NT121050,Muluma,Centrals West Zone,NA,Clinic,-15.752,35.8193,10100,40497
MU211051,Mulungu Alinafe Clinic,South West Zone,NA,Dispensary,-15.856828,35.815601,11238,41057
PH221052,Mulungu Alinafe,South West Zone,NA,Dispensary,-15.85719,35.81552,11275,41101
MZ161053,"Mumbwe,Mzuzu",North Zone,NA,Hospital,-11.4610291,34.0260232,178496,223226
MC191054,Mungomo,South West Zone,NA,Clinic,-14.72,35.55,33851,103201
BT241055,"Munthali Ndalakwanji, N, Pra",South East Zone,NA,Clinic,-15.72915,35.05581,196324,604523
BT241056,Joyce Munthali Private Hospital,South East Zone,NA,Hospital,-15.8044,35.0082,329908,863551
BT241057,Muopo Private Clinic,South East Zone,NA,Clinic,-15.83,35.09,207912,664986
LL041058,Chifundo,Centrals West Zone,NA,Clinic,-13.98105,33.80223,493450,1146428
MW281059,Muyendebwino,South East Zone,NA,Clinic,-15.57835,34.47736,34600,77144
DA021060,Mvera Army,Central East Zone,NA,Health Centre,-13.77963,34.1398,14873,51452
DA021061,Mvera mission,Central East Zone,NA,Health Centre,-13.73673,34.12876,17566,65129
BT241062,Mwachila private clinic,South East Zone,NA,Clinic,-15.65548,35.02158,43042,183718
BT241063,Mwai Medical Pvt Clinic,South East Zone,NA,Clinic,-15.82,35.01,246412,843072
BT241064,Mwai medical clinic,South East Zone,NA,Clinic,-15.817263,35.013087,258016,852840
BT241065,Proff Mbvundula,South East Zone,NA,Clinic,-15.81191,35.04788,364648,908433
