facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
793318-7,Moeng  College Health Post,Palapye,NA,Clinic,-22.679795,27.614729,1356,7003
156495-4,Morupule Coliery Clinic,Palapye,NA,Clinic,-22.525171,27.04955,6551,19430
533191-3,Nutrition Clinic,Serowe,NA,Clinic,-22.412759,26.703113,13976,22510
305620-7,Thabala Clinic,Serowe,NA,Clinic,-22.494469,26.420832,548,1509
732845-3,Newtown Clinic,Serowe,NA,Clinic,-22.415428,26.739302,14048,22405
895295-4,Chukumuchu Health Post,Okavango,NA,Health Post,-18.29666,21.793068,2566,4851
239497-1,Kajaja Health Post,Okavango,NA,Health Post,-18.669656,22.089188,422,1218
866139-9,Gobojango Health Post,Bobirwa,NA,Health Post,-21.83066,28.727489,593,1974
674820-6,Semolale Clinic,Bobirwa,NA,Health Post,-21.8737049,28.8277306,1178,2302
461911-0,Tsetsebjwe Clinic,Bobirwa,NA,Clinic with Maternity,-21.99116,28.429727,4251,7010
908419-5,Molalatau Health Post,Bobirwa,NA,Health Post,-22.066779,28.601306,2041,3659
811002-5,Lepokole Health Post,Bobirwa,NA,Health Post,-21.782826,28.340973,307,836
170913-8,Mabolwe Health Post,Bobirwa,NA,Health Post,-21.820293,28.824942,958,2303
356146-1,Mathathane Clinic,Bobirwa,NA,Clinic with Maternity,-22.2667738,28.749933,1131,2210
854774-7,Lentswelemoriti Health Post,Bobirwa,NA,Health Post,-22.176613,29.306519,16,24
310115-1,Broadhurst III Clinic,Greater Gaborone,NA,Clinic with Maternity,-24.6277,25.93694,57543,177280
542046-8,Seronga Clinic,Okavango,NA,Clinic with Maternity,-18.812481,22.414334,388,893
245929-5,Nokaneng Clinic,Okavango,NA,Clinic with Maternity,-19.662259,22.18832,185,497
484939-4,Xakao Clinic,Okavango,NA,Clinic with Maternity,-18.312692,21.890945,750,4465
218766-4,Gumare Clinic,Okavango,NA,Clinic,-19.367249,22.16253,1085,1516
410981-5,Qangwa Clinic,Okavango,NA,Clinic with Maternity,-19.538127,21.178319,520,979
621771-5,Sepopa Clinic,Okavango,NA,Clinic,-18.74413,22.174054,1168,2072
908115-9,Gunutsoga Health Post,Okavango,NA,Health Post,-18.838309,22.578198,244,665
290937-2,Kauxwi Health Post,Okavango,NA,Health Post,-18.277533,21.835531,1894,4662
209107-2,Mogotlho Health Post,Okavango,NA,Health Post,-18.527139,22.15476,358,842
646188-3,Habu Health Post,Okavango,NA,Health Post,-19.862511,22.384101,130,322
379558-0,Nxaunxau Health Post,Okavango,NA,Health Post,-18.974316,21.301147,214,502
816069-9,Mohembo/Nxomokao Health Post,Okavango,NA,Health Post,-18.296565,21.792407,2557,4831
554994-4,Ngarange Health Post,Okavango,NA,Health Post,-18.398124,22.006434,784,1801
146770-3,Nxamasere Health Post,Okavango,NA,Health Post,-18.588056,21.993648,570,1548
245847-9,Ikoga Health Post,Okavango,NA,Health Post,-18.868505,22.281601,299,1011
249838-4,Ghani Health Post,Okavango,NA,Health Post,-18.401504,21.573729,209,627
257034-9,Shakawe Clinic,Okavango,NA,Clinic with Maternity,-18.361607,21.846593,2017,4768
320845-1,Goodhope Primary Hospital,Goodhope,NA,Primary Hospital,-25.470463,25.444703,13769,23002
295406-3,O.K. CHEMIST,South East,NA,Individual practitioner,-25.209814,25.678195,67519,97748
582552-6,Hukuntsi Clinic,Kgalagadi North,NA,Clinic,-23.998548,21.776151,774,1450
349554-6,Make Health Post,Kgalagadi North,NA,Health Post,-23.69552,21.784937,107,324
908500-2,Ncaang Health Post,Kgalagadi North,NA,Health Post,-23.4424382,21.2236691,109,293
547193-3,Inalegolo Health Post,Kgalagadi North,NA,Health Post,-23.950759,22.974892,409,696
751937-4,Lehututu Health Post,Kgalagadi North,NA,Health Post,-23.916725,21.83424,401,1057
560691-8,Lokgwabe Health Post,Kgalagadi North,NA,Health Post,-24.11336,21.778713,384,655
829710-3,Monong Health Post,Kgalagadi North,NA,Health Post,-23.661561,21.511101,78,222
758986-4,Tshane Health Post,Kgalagadi North,NA,Health Post,-24.020721,21.86909,379,1169
588661-9,Phuduhudu Health Post,Kgalagadi North,NA,Health Post,-23.949994,22.970652,407,686
