facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
NA,Wakamaa Health Post,Borno,Biu,Primary,10.6145400003,12.1269199999,18828,96402
NA,Maitaimako Clinic,Borno,Biu,Primary,10.6173000002,12.1766499997,62637,97700
NA,Mai Mustapha Memorial Biv Clinic,Borno,Biu,Primary,10.6148600005,12.18593,63186,96878
NA,Bilingwi Health Post,Borno,Hawul,Primary,10.5254199997,12.256646,12816,57596
NA,Lawan Lokoja Health Post,Borno,Hawul,Primary,10.3824879996,12.2642940002,10428,27751
NA,Ajigin Health Clinic,Borno,Damboa,Primary,11.1690600001,12.2794599995,3544,13858
NA,Burgumma Health Post,Borno,Kaga,Primary,11.6007000003,12.4054000001,4204,16704
NA,Baba Gara Konto Health Post,Borno,Nganzai,Primary,12.4921800001,13.1586399999,12829,36152
NA,Tobalo Health Clinic,Borno,Kaga,Primary,11.5567300005,12.5498100002,2716,11039
NA,Abulum Health Clinic,Borno,Kaga,Primary,11.3739300003,12.6141599999,2538,10283
NA,Wawa Lawanti Health Post,Borno,Damboa,Primary,11.0923099999,12.6536239997,8591,34473
NA,Foi Health Post,Borno,Kaga,Primary,11.29117,12.6645100001,4054,13732
NA,Yajiwa Health Clinic,Borno,Kaga,Primary,11.3885800002,12.72318,3177,8671
NA,Bula Kudugu Health Post,Borno,Askira/Uba,Primary,10.7040200001,12.7390199998,7722,21488
NA,Sandia Health Clinic,Borno,Damboa,Primary,11.2268280003,12.8149970004,10323,37915
NA,Alhajiri Primary Health Clinic,Borno,Konduga,Primary,11.4745709996,12.8813360005,578,3804
NA,Talata Nga Health Clinic,Borno,Abadam,Primary,13.497019999799999,12.9501600002,8545,20547
NA,Talbari Health Post,Borno,Konduga,Primary,11.5469339998,12.9738000003,2698,7755
NA,Mustaphawari Health Clinic,Borno,Konduga,Primary,11.5316700004,12.99099,2830,7495
NA,Kuburvi Health Post,Borno,Chibok,Primary,10.9262900001,13.0243999997,3175,11735
NA,Shattaram Health Center,Borno,Gubio,Primary,12.6471540003,13.0316919996,2962,13484
NA,Karnowa Health Post,Borno,Magumeri,Primary,12.1379970004,13.0730239997,4615,14226
NA,Ajiri Health Clinic,Borno,Konduga,Primary,11.6602149998,13.1135450002,1909,15166
NA,Mustashfa Clinic,Borno,Maiduguri,Primary,11.8196490001,13.1386610003,476386,958103
NA,Usman Ndajiya Basic Health Clinic,Niger,Edati,Primary,9.113525391,5.579528808,31512,87116
NA,Ward 2 Basic Health Clinic,Kwara,Pategi,Primary,8.73413086,5.756896973,30095,59660
NA,Mulgoi Health Post,Borno,Damboa,Primary,11.2512529999,13.1726680004,3403,11543
NA,21 Brigade Medical Center,Borno,Jere,Secondary,11.79744,13.1734299999,495385,960028
NA,Chase Clinic,Borno,Jere,Primary,11.8532299999,13.1829500004,645660,1050816
NA,Syklark Hospital,Ogun,Sagamu,Primary,6.83206,3.64784,122801,282647
NA,Koshebe Clinic,Borno,Jere,Primary,11.8456999998,13.1856500002,700292,1052822
NA,Tamus Ngamdaa Clinic,Borno,Jere,Primary,11.8661299997,13.2398900001,163423,850257
