facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,catchment_population,catchment_category
100675-8,CANOSSA,Arusha,Arusha,Dispensary,-3.45802,36.71262,7375,High
124407-8,ARUSHA LIFECARE MEDICAL  CENTRE,Arusha,Arusha,Health Laboratory,-3.37721,36.67611,2986,Low
107809-6,TERRAT,Arusha,Arusha,Dispensary,-3.454225,36.652426,12280,Very High
100909-1,COGI DARAJA II,Arusha,Arusha,Dispensary,-3.387378,36.690832,9153,Very High
109516-5,NADOSOITO,Arusha,Arusha,Dispensary,-3.493953,36.681011,11594,Very High
111552-6,AFYA MAX,Arusha,Arusha,Clinic,-3.365947,36.675616,3263,Low
102269-8,KAM Med,Arusha,Arusha,Health Center,-3.378285,36.696048,2747,Low
111489-1,KANAAN LAND,Arusha,Arusha,Dispensary,-3.405768,36.644791,17283,Very High
111784-5,KIMAHAMA,Arusha,Arusha,Clinic,-3.367506,36.68474,229,Very Low
112007-0,SHAMSI,Arusha,Arusha,Health Laboratory,-3.37261,36.66517,6226,High
100188-2,ARUSHA LUTHERAN MEDICAL CENTRE CENTER,Arusha,Arusha,Hospital,-3.36626,36.68231,2043,Very Low
108577-8,AGA KHAN,Arusha,Arusha,Clinic,-3.37077,36.68944,622,Very Low
105312-3,MOSHONO,Arusha,Arusha,Dispensary,-3.40497,36.7301,22305,Very High
109601-5,AICC,Arusha,Arusha,Hospital,-3.37481,36.69946,168,Very Low
123541-5,SAFARI B,Arusha,Arusha,Health Laboratory,-3.39156,36.71307,9265,Very High
111844-7,JOBI,Arusha,Arusha,Dispensary,-3.375044,36.676086,1213,Very Low
124006-8,ST. MICHAEL HEALTH CARE,Arusha,Arusha,Dispensary,-3.38433,36.67871,3200,Low
111997-3,MORDEN,Arusha,Arusha,Health Laboratory,-3.37521,36.67407,3898,Moderate
112384-3,ARUSHA CITY,Arusha,Arusha,Hospital,-3.419736,36.704657,12544,Very High
124406-0,AFYARISE,Arusha,Arusha,Health Laboratory,-6.45679,38.21149,243,Very Low
101379-6,HOLY FAMILY,Arusha,Arusha,Clinic,-3.41223,36.70756,5906,High
113632-4,FM HEALTH CARE,Arusha,Arusha,Health Laboratory,-3.36734,36.72587,3044,Low
106910-3,OLKEREYAN,Arusha,Arusha,Dispensary,-3.43613,36.72062,8827,High
113640-7,SMART,Arusha,Arusha,Health Laboratory,-3.405221,36.645555,13364,Very High
111223-4,TBL,Arusha,Arusha,Dispensary,-3.38329,36.69911,4876,Moderate
113622-5,MAJENGO,Arusha,Arusha,Health Laboratory,-3.37093,36.66064,3291,Low
107868-2,TOTAL CARE,Arusha,Arusha,Health Center,-3.39064,36.70467,2574,Low
100187-4,ARUSHA HEALTH CENTRE FOR WOMEN,Arusha,Arusha,Health Center,-3.36106,36.68535,1442,Very Low
100192-4,ARUSHA X-RAY CENTRE,Arusha,Arusha,Dispensary,-3.36579,36.699,1002,Very Low
109812-8,MATEVES,Arusha,Arusha,Dispensary,-3.359082,36.601756,8111,High
113551-6,BARAA,Arusha,Arusha,Health Laboratory,-3.37256,36.7378,8244,High
110873-7,AVETI,Arusha,Arusha,Clinic,-3.36314,36.69035,1581,Very Low
102755-6,KIJENGE RC,Arusha,Arusha,Dispensary,-3.3816,36.70815,2408,Low
112912-1,St Joseph Health Care International,Arusha,Arusha,Hospital,-3.360253,36.658594,6164,High
109790-6,TANGANYIKA PACKERS,Arusha,Arusha,Dispensary,-3.408887,36.745975,12391,Very High
112001-3,MICO PALLOT,Arusha,Arusha,Health Laboratory,-3.38373,36.67416,6908,High
103490-9,LEVOLOSI,Arusha,Arusha,Health Center,-3.37227,36.6799,1013,Very Low
110462-9,DOSIL,Arusha,Arusha,Dispensary,-3.4102,36.658531,8820,High
113627-4,BETHELI,Arusha,Arusha,Health Laboratory,-3.386244,36.726143,10437,Very High
121157-2,BARAA,Arusha,Arusha,Dispensary,-3.3794400000000002,36.73552,8628,High
112918-8,BANK OF TANZANIA,Arusha,Arusha,Clinic,-3.36951,36.69325,916,Very Low
104331-4,MARIE STOPES,Arusha,Arusha,Dispensary,-3.375013,36.684394,769,Very Low
101462-0,ITHNAASHERI CHARITABLE,Arusha,Arusha,Clinic,-3.37424,36.68132,759,Very Low
123643-9,ADN CARE,Arusha,Arusha,Health Center,-3.37589,36.70298,588,Very Low
106891-5,OLD ARUSHA,Arusha,Arusha,Health Center,-3.37439,36.69686,806,Very Low
111488-3,ST RAPHAEL,Arusha,Arusha,Dispensary,-3.36065,36.69618,343,Very Low
113629-0,SMART,Arusha,Arusha,Clinic,-3.37187,36.69877,664,Very Low
122602-6,NORLAN,Arusha,Arusha,Dispensary,-3.45573,36.72421,5324,Moderate
120897-4,HAYAAT,Arusha,Arusha,Clinic,-3.37051,36.69912,926,Very Low
113549-0,VICTORY,Arusha,Arusha,Health Laboratory,-3.37681,36.70717,3531,Low
110725-9,OLORIEN COMMUNITY,Arusha,Arusha,Dispensary,-3.38774,36.71161,1764,Very Low
111974-2,SEKEI,Arusha,Arusha,Health Laboratory,-3.36287,36.70447,1763,Very Low
111491-7,JMS HUMAN HEALTH,Arusha,Arusha,Dispensary,-3.365352,36.689535,657,Very Low
112836-2,LARUSA,Arusha,Arusha,Clinic,-3.369451,36.686845,219,Very Low
110831-5,COGI AMAN OLASITI,Arusha,Arusha,Dispensary,-3.41753,36.65603,10181,Very High
111964-3,CITY CENTRE,Arusha,Arusha,Health Laboratory,-3.36786,36.68499,214,Very Low
106358-5,NGARENARO,Arusha,Arusha,Health Center,-3.37346,36.68146,296,Very Low
111956-9,NZUNDUKA,Arusha,Arusha,Health Laboratory,-3.38012,36.65985,4470,Moderate
101134-5,FARAJA,Arusha,Arusha,Dispensary,-3.37231,36.68135,692,Very Low
122268-6,HEIN,Arusha,Arusha,Clinic,-3.36193,36.69596,152,Very Low
113550-8,FORWARD MODERN,Arusha,Arusha,Health Laboratory,-3.39125,36.673492,8618,High
107008-5,POLICE,Arusha,Arusha,Dispensary,-3.36811,36.69189,662,Very Low
105112-7,MKONOO,Arusha,Arusha,Health Center,-3.46341,36.69805,11888,Very High
113623-3,WELINESS,Arusha,Arusha,Dispensary,-3.386351,36.660058,8550,High
113552-4,AVINTA CARE,Arusha,Arusha,Health Laboratory,-3.37622,36.7024,1163,Very Low
121333-9,A TO Z,Arusha,Arusha,Dispensary,-3.38333,36.59226,10439,Very High
111998-1,KIAZE,Arusha,Arusha,Health Laboratory,-3.36279,36.67261,2139,Very Low
113628-2,HEALTH4ALL,Arusha,Arusha,Clinic,-3.373656,36.699567,541,Very Low
109552-0,DARAJA II,Arusha,Arusha,Health Center,-3.38057,36.68765,2901,Low
107527-4,SOMBETINI,Arusha,Arusha,Dispensary,-3.39463,36.665003,2860,Low
123163-8,CABRIM,Arusha,Arusha,Dispensary,-3.40549,36.66653,8710,High
114594-5,MOSHONO,Arusha,Arusha,Health Center,-3.44421,36.7151,5458,Moderate
101224-4,GLORIA,Arusha,Arusha,Dispensary,-3.361671,36.697168,776,Very Low
123183-6,YOUHEAL,Arusha,Arusha,Clinic,-3.38578,36.72323,7637,High
113542-5,MICO SAJE,Arusha,Arusha,Dispensary,-3.430558,36.678524,19888,Very High
107817-9,THEMI,Arusha,Arusha,Health Center,-3.39838,36.70107,11273,Very High
110726-7,SHAMAH,Arusha,Arusha,Dispensary,-3.384721,36.681034,2294,Low
124005-0,CITYSMILE,Arusha,Arusha,Clinic,-3.38156,36.70945,1050,Very Low
112005-4,USANDA,Arusha,Arusha,Health Laboratory,-3.42054,36.65796,3111,Low
114497-1,ST GEMA,Arusha,Arusha,Health Center,-3.37477,36.69964,103,Very Low
122943-4,FMCARE,Arusha,Arusha,Dispensary,-3.36729,36.43335,434,Very Low
121091-3,DARAJA MBILI,Arusha,Arusha,Dispensary,-3.42678,36.66784,17575,Very High
120470-0,DELIGHT,Arusha,Arusha,Clinic,-3.39329,36.70503,596,Very Low
121380-0,EL-SHADAI,Arusha,Arusha,Dispensary,-3.36256,36.67537,4767,Moderate
108142-1,UPONE CHARITABLE,Arusha,Arusha,Dispensary,-3.376765,36.660904,2179,Low
109983-7,KIMANDOLU,Arusha,Arusha,Dispensary,-3.371417,36.722325,8934,High
101355-6,Heri,Arusha,Arusha,Dispensary,-3.38638,36.68523,4531,Moderate
110721-8,FMM,Arusha,Arusha,Clinic,-3.362834,36.7009,1844,Very Low
110727-5,SINONI,Arusha,Arusha,Dispensary,-3.41708,36.6876,12287,Very High
100364-9,BIKIRA MARIA MAMA WA HURUMA,Arusha,Arusha,Health Center,-3.36571,36.68761,784,Very Low
123471-5,AGA KHAN,Arusha,Arusha,Clinic,-3.37077,36.68944,622,Very Low
110911-5,SAKINA,Arusha,Arusha,Dispensary,-3.36137,36.67014,2618,Low
110919-8,WELL POINT,Arusha,Arusha,Dispensary,-3.40508,36.705694,6755,High
124330-2,KIVUYO HOPE,Arusha,Arusha,Health Laboratory,-3.36425,36.58232,1929,Very Low
102258-1,KALOLENI,Arusha,Arusha,Health Center,-3.369322,36.688577,333,Very Low
108118-1,UPENDO,Arusha,Arusha,Dispensary,-3.360182,36.696237000000004,1371,Very Low
112314-0,SUNBEAM OPTICAL CENTRE,Arusha,Arusha,Clinic,-3.374242,36.684171,332,Very Low
124022-5,LC AFYAPRIME MEDICARE,Arusha,Arusha,Dispensary,-3.25451,36.40291,1633,Very Low
112316-5,VISION CARE,Arusha,Arusha,Clinic,-3.37181,36.68789,105,Very Low
111255-6,THE DENTAL PLAZA LIMITED,Arusha,Arusha,Clinic,-3.40854,36.70658,2262,Low
109982-9,ELERAI,Arusha,Arusha,Dispensary,-3.368833,36.658632,4473,Moderate
111957-7,HIGHWAY HEALTH,Arusha,Arusha,Health Laboratory,-3.39452,36.66518,4853,Moderate
111958-5,CURARE,Arusha,Arusha,Health Laboratory,-3.37033,36.68735,142,Very Low
111960-1,TAHFIFU,Arusha,Arusha,Health Laboratory,-3.37467,36.67456,2135,Very Low
111783-7,N.G LIGHT,Arusha,Arusha,Dispensary,-3.44181,36.66592,21616,Very High
108580-2,SUNNI MUSLIM CHARITABLE,Arusha,Arusha,Clinic,-3.3717800000000002,36.68668,107,Very Low
111959-3,BUTURI,Arusha,Arusha,Health Laboratory,-3.38578,36.70966,2601,Low
111965-0,ARUSHA JUNIOR,Arusha,Arusha,Dispensary,-3.368606,36.681106,1452,Very Low
111966-8,AMANI GE,Arusha,Arusha,Health Laboratory,-3.36825,36.68539,280,Very Low
111983-3,NEEMA,Arusha,Arusha,Health Laboratory,-3.37232,36.68052,233,Very Low
111996-5,SOFTMED,Arusha,Arusha,Health Laboratory,-3.43811,36.70531,20176,Very High
100320-1,BARAA RC,Arusha,Arusha,Dispensary,-3.38882,36.73671,14966,Very High
110715-0,LCC HURUMA,Arusha,Arusha,Dispensary,-3.418995,36.658198,5454,Moderate
112315-7,SAMMY EYE CARE,Arusha,Arusha,Clinic,-3.36999,36.685859,324,Very Low
112318-1,VISION PERFECT LIMITED,Arusha,Arusha,Clinic,-3.37217,36.69415,723,Very Low
123188-5,VISION CARE,Arusha,Arusha,Clinic,-3.39788,36.70476,2273,Low
109980-3,OLORIENI,Arusha,Arusha,Dispensary,-3.385231,36.714165,3440,Low
121972-4,METROPOLIS HEALTH CARE  TANZANIA LIMITED,Arusha,Arusha,Health Laboratory,-3.36686,36.68834,291,Very Low
112317-3,STAR OPTOMETRY,Arusha,Arusha,Clinic,-3.361102,36.684911,1935,Very Low
124144-7,GRAN MELIA ARUSHA,Arusha,Arusha,Clinic,-3.37079,36.70698,6605,High
101053-7,EBEN,Arusha,Arusha,Dispensary,-3.36372,36.68965,668,Very Low
122343-7,MKOMBOZI,Arusha,Arusha,Clinic,-3.41733,36.69166,10665,Very High
114422-9,SAMARITAN VILLAGE,Arusha,Arusha,Dispensary,-3.40194,36.74548,9647,Very High
109439-0,MAGEREZA,Arusha,Arusha,Dispensary,-3.369214,36.619845,5212,Moderate
114498-9,BARAKA,Arusha,Arusha,Dispensary,-3.403896,36.6787,15346,Very High
124027-4,AMENAH'S,Arusha,Arusha,Dispensary,-3.37603,36.66193,805,Very Low
112377-7,MURIET,Arusha,Arusha,Health Center,-3.440929,36.654003,15655,Very High
111982-5,AGAPE,Arusha,Arusha,Health Laboratory,-3.396758,36.658008,13684,Very High
107272-7,SANAWARI,Arusha,Arusha,Dispensary,-3.362164,36.695852,872,Very Low
121378-4,PHYSIOCARE,Arusha,Arusha,Physiotherapy Clinic,-3.39398,36.70832,2089,Very Low
120339-7,AVINTACARE MEDICAL CENTRE,Arusha,Arusha,Health Center,-3.375,36.7025,871,Very Low
123224-8,DII,Arusha,Arusha,Clinic,-3.39384,36.70809,788,Very Low
105272-9,MOIVARO,Arusha,Arusha,Health Center,-3.39281,36.7559,10400,Very High
110823-2,NJIRO SDA,Arusha,Arusha,Dispensary,-3.40858,36.70727,3869,Low
113630-8,HAYAAT,Arusha,Arusha,Clinic,-3.37051,36.69911,460,Very Low
113543-3,PRINCE,Arusha,Arusha,Health Laboratory,-3.37626,36.66222,843,Very Low
120877-6,TABASAMU,Arusha,Arusha,Clinic,-3.3667,36.68798,271,Very Low
122847-7,ANNOINTING MEDICAL,Arusha,Arusha,Dispensary,-3.40767,36.67525,12751,Very High
112378-5,OLMOTI,Arusha,Arusha,Dispensary,-3.426427,36.593784,6616,High
107581-1,ST. ELIZABETH,Arusha,Arusha,Hospital,-3.368883,36.677593,2477,Low
120261-3,FIRST CARE,Arusha,Arusha,Dispensary,-3.39336,36.67896,10714,Very High
110723-4,HIGHWAY,Arusha,Arusha,Dispensary,-3.3729,36.68527,413,Very Low
120757-0,PATRICK PEYTON RC,Arusha,Arusha,Health Center,-3.40019,36.66621,6003,High
101121-2,FAITH,Arusha,Arusha,Dispensary,-3.36737,36.72316,7871,High
111963-5,CHARITY MODERN,Arusha,Arusha,Health Laboratory,-3.38155,36.66116,3572,Low
103705-0,LULU MEDICAL,Arusha,Arusha,Dispensary,-3.37824,36.6625,3527,Low
113547-4,RESPECT,Arusha,Arusha,Health Laboratory,-3.38497,36.68385,1256,Very Low
120895-8,SUNSHINE,Arusha,Arusha,Dispensary,-3.40321,36.75906,10941,Very High
113625-8,GEMSA,Arusha,Arusha,Clinic,-3.37508,36.69968,659,Very Low
110921-4,ZEBRA,Arusha,Arusha,Clinic,-3.366802,36.684627,763,Very Low
100190-8,ARUSHA SCHOOL,Arusha,Arusha,Dispensary,-3.3742,36.69426,1049,Very Low
113548-2,KUHENGA,Arusha,Arusha,Health Laboratory,-3.36363,36.66777,5028,Moderate
113544-1,TRUE,Arusha,Arusha,Health Laboratory,-3.41618,36.65687,3595,Low
105316-4,MT. MERU,Arusha,Arusha,Hospital,-3.36642,36.69498,1390,Very Low
112832-1,NGULELO,Arusha,Arusha,Clinic,-3.36597,36.72672,5117,Moderate
112000-5,LANCET,Arusha,Arusha,Health Laboratory,-3.37264,36.68842,631,Very Low
123714-8,ROLAND HEALTH CARE,Arusha,Arusha,Clinic,-3.39363,36.70389,1367,Very Low
107442-6,SHREE HINDU,Arusha,Arusha,Hospital,-3.37712,36.68922,2431,Low
111486-7,NSK,Arusha,Arusha,Hospital,-3.380651,36.684811,2045,Very Low
123008-5,LANCET GEMSA,Arusha,Arusha,Health Laboratory,-3.37508,36.69968,659,Very Low
122784-2,HEALTH-4-ALL,Arusha,Arusha,Maternity Home,-3.22245,36.41591,5193,Moderate
120896-6,ORBIT,Arusha,Arusha,Clinic,-3.37051,36.69912,926,Very Low
113626-6,WANJIRO,Arusha,Arusha,Health Laboratory,-3.416383,36.704574,4690,Moderate
107637-1,ST. THOMAS,Arusha,Arusha,Health Center,-3.372425,36.688475,172,Very Low
112930-3,MOYO MEDICARE,Arusha,Arusha,Clinic,-3.364268,36.698327,728,Very Low
111782-9,HOPE,Arusha,Arusha,Dispensary,-3.424183,36.658004,14150,Very High
113631-6,QUBE,Arusha,Arusha,Health Laboratory,-3.37452,36.73815,6803,High
100309-4,BANGATA LUTHERAN,Arusha,Arusha,Dispensary,-3.33582,36.74476,4778,Moderate
109595-9,SELIAN,Arusha,Arusha,Hospital,-3.32548,36.6501,12389,Very High
113656-3,ASHENGAI,Arusha,Arusha,Health Laboratory,-3.38493,36.58884,4468,Moderate
102913-1,KIMNYAKI MAASAI,Arusha,Arusha,Dispensary,-3.31311,36.64154,860,Very Low
121779-3,KIVULUL,Arusha,Arusha,Dispensary,-3.34075,36.70718,3797,Low
113654-8,KISONGO,Arusha,Arusha,Health Laboratory,-3.372808,36.571935,1995,Very Low
111143-4,PAMOJA,Arusha,Arusha,Clinic,-3.31926,36.63523,5102,Moderate
111967-6,TUMAINIJEMA,Arusha,Arusha,Health Laboratory,-3.35025,36.64896,16228,Very High
124255-1,LEMGUR,Arusha,Arusha,Dispensary,-3.42247,36.57694,3186,Low
121490-7,ILBORU SECONDARY,Arusha,Arusha,Dispensary,-3.34715,36.68728,9306,Very High
109788-0,ESSOKA,Arusha,Arusha,Dispensary,-3.60492,36.66354,2611,Low
101745-8,ILKREVI,Arusha,Arusha,Dispensary,-3.37545,36.68302,1152,Very Low
109545-4,SAMBASHA,Arusha,Arusha,Dispensary,-3.293279,36.673411,8403,High
106388-2,NGIRES,Arusha,Arusha,Dispensary,-3.33731,36.7346,3243,Low
109536-3,KISONGO CHARITABLE,Arusha,Arusha,Health Center,-3.37211,36.57025,7824,High
100916-6,COGI NGARAMTONI,Arusha,Arusha,Dispensary,-3.31571,36.6388,972,Very Low
123170-3,OLEMASEKE,Arusha,Arusha,Dispensary,-3.35735,36.68373,6390,High
106418-7,NGORBOBO,Arusha,Arusha,Dispensary,-3.37559,36.57303,3832,Low
106900-4,OLDONYO SAMBU,Arusha,Arusha,Health Center,-3.15592001,36.68288001,10928,Very High
105727-2,MUUNGANO,Arusha,Arusha,Dispensary,-3.45362,36.71341,5138,Moderate
121897-3,ILKUROT,Arusha,Arusha,Dispensary,-3.21224,36.62733,6597,High
106913-7,OLKOKOLA,Arusha,Arusha,Health Center,-3.24666,36.64528,14114,Very High
104673-9,MBUYUNI,Arusha,Arusha,Health Center,-3.574294,36.65867,5563,Moderate
103468-5,LENGIJAVE,Arusha,Arusha,Dispensary,-3.22259,36.6029,8982,High
106904-6,OLDONYOWASI,Arusha,Arusha,Dispensary,-3.16025001,36.703001,5267,Moderate
120304-1,DR MASUDI,Arusha,Arusha,Dispensary,-3.37367,36.57231,480,Very Low
109693-2,ZACI ILKIDING'A,Arusha,Arusha,Dispensary,-3.32286,36.68443,10367,Very High
111144-2,MOUNT MERU,Arusha,Arusha,Dispensary,-3.362067,36.704846,702,Very Low
109813-6,MIRONGOINE,Arusha,Arusha,Dispensary,-3.60759,36.66324,1947,Very Low
123975-5,NAMAYANI,Arusha,Arusha,Dispensary,-3.39563,36.53261,4242,Moderate
124385-6,ANGESCENCIA,Arusha,Arusha,Dispensary,-3.33867,36.69987,7183,High
123273-5,ST.BAJO,Arusha,Arusha,Health Laboratory,-3.36133,36.70523,12336,Very High
106906-1,OLGILAI,Arusha,Arusha,Dispensary,-3.34238,36.72191,9129,Very High
107338-6,KISONGO SDA,Arusha,Arusha,Dispensary,-3.370954,36.546784,4483,Moderate
105691-0,MUNGUSH,Arusha,Arusha,Dispensary,-3.53059,36.83493,3224,Low
120876-8,GOOD HOPE FAMILY,Arusha,Arusha,Dispensary,-3.31192,36.64026,1123,Very Low
121619-1,UMOJA,Arusha,Arusha,Dispensary,-3.33814,36.741954,675,Very Low
103487-5,LESIRAA,Arusha,Arusha,Dispensary,-3.396869,36.506901,3142,Low
109462-2,ESTHER NGARAMTONI,Arusha,Arusha,Dispensary,-3.31241,36.64039,364,Very Low
121896-5,LOVILUKUNY,Arusha,Arusha,Dispensary,-3.40269,36.54774,3852,Low
103805-8,M&M KIWERA,Arusha,Arusha,Dispensary,-3.35912,36.66115,4975,Moderate
110712-7,OLCHOROVOSI,Arusha,Arusha,Dispensary,-3.35641,36.66751,8594,High
103131-9,KISONGO LUTHERAN,Arusha,Arusha,Dispensary,-3.37077,36.58481,3798,Low
121675-3,NAMELOK,Arusha,Arusha,Dispensary,-3.13514,36.74372,2870,Low
120444-5,MIDAWE,Arusha,Arusha,Dispensary,-3.340105,36.744204,3067,Low
124254-4,KIGONGONI,Arusha,Arusha,Dispensary,-3.53682,36.77853,2390,Low
106922-8,OLTRUMENT,Arusha,Arusha,Hospital,-3.30344,36.60487,12327,Very High
105273-7,MOIVO,Arusha,Arusha,Dispensary,-3.350111,36.70016,7737,High
101800-1,IMBIBIA,Arusha,Arusha,Dispensary,-3.265367,36.56532,10023,Very High
120349-6,ELI SPECIALIZED POLYCLINIC,Arusha,Arusha,Clinic,-3.31736,36.63355,1334,Very Low
104283-7,MANYIRE,Arusha,Arusha,Dispensary,-3.457352,36.805677,7537,High
124259-3,SONGAMBELE,Arusha,Arusha,Health Center,-3.55963,36.81094,2587,Low
121722-3,OLORIEN,Arusha,Arusha,Health Center,-3.3226,36.64204,8681,High
103512-0,LIKAMBA,Arusha,Arusha,Dispensary,-3.32382,36.54664,5597,Moderate
102981-8,KIOGA,Arusha,Arusha,Dispensary,-3.32543,36.6982,6825,High
124257-7,LAROI,Arusha,Arusha,Dispensary,-3.49457,36.62384,6916,High
113650-6,ILBORU,Arusha,Arusha,Health Laboratory,-3.35787,36.69103,3013,Low
123009-3,AFYA,Arusha,Arusha,Health Laboratory,-3.32831,36.62291,6356,High
111880-1,HOREBU HILL,Arusha,Arusha,Dispensary,-3.31431,36.64286,3992,Moderate
113655-5,KISAU,Arusha,Arusha,Health Laboratory,-3.37465,36.56958,5182,Moderate
103589-8,LOSINONI,Arusha,Arusha,Dispensary,-3.13209,36.72001,3087,Low
111366-1,EKENYWA,Arusha,Arusha,Dispensary,-3.304082,36.643429,7857,High
100308-6,BANGATA,Arusha,Arusha,Dispensary,-3.35845,36.74753,6290,High
120769-5,MATONYORATA,Arusha,Arusha,Dispensary,-3.1466,36.69138,1124,Very Low
100654-3,BWAWANI,Arusha,Arusha,Dispensary,-3.60778,36.84283,8605,High
106947-5,KISONGO PAG,Arusha,Arusha,Dispensary,-3.37391,36.57036,299,Very Low
111510-4,ENGORORA,Arusha,Arusha,Health Center,-3.35498,36.54587,3645,Low
106898-0,OLDADAI,Arusha,Arusha,Dispensary,-3.356071,36.73511,5396,Moderate
123772-6,UZIMA,Arusha,Arusha,Dispensary,-3.31571,36.63881,593,Very Low
102912-3,KIMNYAKI,Arusha,Arusha,Dispensary,-3.307269,36.660028,7994,High
109600-7,SEURI,Arusha,Arusha,Dispensary,-3.30744,36.63943,2556,Low
106287-6,NDURUMA,Arusha,Arusha,Health Center,-3.48004,36.79311,8751,High
105908-8,MWANDET,Arusha,Arusha,Dispensary,-3.240352,36.538173,4560,Moderate
113652-2,TRAS,Arusha,Arusha,Health Laboratory,-3.35326,36.69612,3157,Low
106917-8,FORESTRY TRAINING INSTITUTE OLMOTONYI,Arusha,Arusha,Dispensary,-3.29021,36.65643,4895,Moderate
109720-3,OLJORO,Arusha,Arusha,Dispensary,-3.54043,36.65061,4122,Moderate
101722-7,ILBORU,Arusha,Arusha,Dispensary,-3.35361,36.68923,3132,Low
107818-7,THEMI YA SIMBA,Arusha,Arusha,Dispensary,-3.58101,36.78534001,5336,Moderate
124258-5,MIRONGOINE GVT,Arusha,Arusha,Dispensary,-3.60775,36.66359,4154,Moderate
124256-9,ENGUTUKOITI,Arusha,Arusha,Dispensary,-3.08383,36.74951,2191,Low
100918-2,COGI OLDONYOSAMBU,Arusha,Arusha,Dispensary,-3.14588,36.69191,3791,Low
121773-6,ILKERIN,Arusha,Arusha,Dispensary,-3.37448,36.57251,321,Very Low
105715-7,MUSA,Arusha,Arusha,Dispensary,-3.32405,36.520461,6442,High
112313-2,KIVULINI,Arusha,Arusha,Health Center,-3.51706,36.87044,3445,Low
106903-8,OLDONYOSAPUK,Arusha,Arusha,Dispensary,-3.3292,36.7094,3134,Low
103088-1,KISERIANI,Arusha,Arusha,Dispensary,-3.45026,36.73876,8342,High
103029-5,KIRANYI,Arusha,Arusha,Dispensary,-3.342505,36.668095,15725,Very High
120922-0,PERFECT,Arusha,Arusha,Dispensary,-3.34993,36.68501,6095,High
113545-8,SAFARI,Arusha,Arusha,Health Laboratory,-3.31559,36.641,1302,Very Low
105192-9,MLANGARINI,Arusha,Arusha,Dispensary,-3.44595,36.78874,7167,High
113651-4,BLACA,Arusha,Arusha,Health Laboratory,-3.35597,36.69614,2921,Low
104065-8,MAJIMOTO,Arusha,Arusha,Dispensary,-3.495187,36.852856,4234,Moderate
103870-2,MADUNGA,Manyara,Babati,Dispensary,-4.13426,35.4413,5589,Moderate
100954-7,DAREDA,Manyara,Babati,Hospital,-4.24021,35.49297,11827,Very High
101219-4,GIJEDABUNG,Manyara,Babati,Dispensary,-4.19015,35.9198,4811,Moderate
101217-8,GIDAS,Manyara,Babati,Health Center,-4.42089,35.68066,10367,Very High
101082-6,ENDABEG,Manyara,Babati,Dispensary,-4.25317,35.66211,11221,Very High
104509-5,MAWEMAIRO,Manyara,Babati,Dispensary,-4.05706,35.76117,5711,Moderate
103993-2,MAGUGU,Manyara,Babati,Health Center,-4.00028,35.77902,16362,Very High
107089-5,ST.ALFRED RIRODA RC,Manyara,Babati,Dispensary,-4.18033,35.3892,7218,High
110705-1,RIRODA PUBLIC,Manyara,Babati,Dispensary,-4.30053,35.64894,8890,High
106019-3,MWIKANTSI,Manyara,Babati,Dispensary,-4.13649,35.86707,4000,Moderate
104744-8,MERR,Manyara,Babati,Dispensary,-4.10739,35.58061,7792,High
100183-3,ARRI TSAAYO,Manyara,Babati,Dispensary,-4.24142,35.58945,8517,High
112261-3,MADUNGA KATI,Manyara,Babati,Dispensary,-4.17197,35.45381,6655,High
101083-4,ENDAGWE,Manyara,Babati,Dispensary,-4.35535,35.64857,8149,High
121582-1,MATUFA HEALTH LABORATORY,Manyara,Babati,Health Laboratory,-4.01667,35.76667,1150,Very Low
101086-7,ENDAKISO,Manyara,Babati,Dispensary,-4.2086,35.89043,7637,High
109512-4,BASHNET,Manyara,Babati,Dispensary,-4.23058,35.42924,13913,Very High
104434-6,MASWARE,Manyara,Babati,Dispensary,-4.045581,35.724869,3849,Low
100203-9,ENDANACHANI,Manyara,Babati,Dispensary,-4.33594,35.69565,7310,High
101042-0,DURU,Manyara,Babati,Dispensary,-4.31917,35.5972,5710,Moderate
103909-8,MAGARA,Manyara,Babati,Health Center,-3.80612,35.69783,11248,Very High
107277-6,SANGAIWE,Manyara,Babati,Dispensary,-3.94035,35.82351,4693,Moderate
111158-2,MANAGHA,Manyara,Babati,Dispensary,-4.263902,35.571519,2793,Low
100992-7,DOHOM,Manyara,Babati,Dispensary,-4.165116,35.587384,6183,High
104522-8,MAYOKA,Manyara,Babati,Dispensary,-3.72426,35.71843,3250,Low
113679-5,MANYARA,Manyara,Babati,Dispensary,-4.81647,35.72305,4961,Moderate
106199-3,NAR,Manyara,Babati,Dispensary,-4.1813,35.4094,5594,Moderate
106508-5,NKAITI,Manyara,Babati,Health Center,-3.73102,35.94225,3430,Low
108013-4,UFANA,Manyara,Babati,Health Center,-4.244761,35.361191,11608,Very High
104948-5,MINJINGU,Manyara,Babati,Dispensary,-3.70156,35.92848,4442,Moderate
120367-8,BABATI DISTRICT COUNCIL,Manyara,Babati,Hospital,-3.90419,35.81258,5367,Moderate
104322-3,BIKIRA MARIA EMAKULATA,Manyara,Babati,Health Center,-4.20498,35.57598,4706,Moderate
101212-9,GICHAMEDA,Manyara,Babati,Dispensary,-3.97266,35.71631,6240,High
103618-5,LUXMANDA,Manyara,Babati,Dispensary,-4.25657,35.31042,9503,Very High
107400-4,SHAURIMOYO,Manyara,Babati,Dispensary,-3.91395,35.69272,3258,Low
