facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
3041,Mupandi Health Post,Northern,Nsama,Health Post,-8.8943514,29.4770716,1585,5280
2058,Kashitu Rural Health Center,Copperbelt,Masaiti,Health Centre,-13.675967,28.658617,2311,8492
2127,Chinondo Rural Health Center,Copperbelt,Masaiti,Health Centre,-13.436867,28.519617,857,4545
2878,Musungu Rural Health Center,Luapula,Kawambwa,Health Centre,-10.194319,29.707545,1252,5099
3982,Matushi Health Centre,North-Western,Mufumbwe,Health Centre,-13.509321,24.278523,3221,11977
3242,Kasama Urban Health Centre,Northern,Kasama,Health Centre,-10.21407,31.1751,74092,117683
2571,Kapijimpanga Rural Health Centre,North-Western,Solwezi,Health Centre,-12.2595956,26.5189657,2995,15239
3195,Mwenekombe Health Post,Muchinga,Isoka,Health Post,-9.97633,32.84688,514,2426
1044,Makunka Rural Health Centre,Southern,Kazungula,Health Centre,-17.5334,25.6361,955,3301
3305,Mbereshi Mission Hospital Affiliated Health Centre,Luapula,Mwansabombwe,Health Centre,-9.753039,28.796572,11951,37287
1922,Chiwuyu Rural Health Centre,Eastern,Sinda,Health Centre,-14.195225,31.831259,8170,50041
1332,Senanga General Hospital,Western,Senanga,2nd Level Hospital,-16.146,23.146,3094,9838
2074,Ipumbu Rural Health Centre,Copperbelt,Mpongwe,Health Centre,-13.63776405,27.84502029,1806,8097
1701,Twalumba Rural Health Centre,Central,Chibombo,Health Centre,-14.9973,28.1396,16025,32925
1102,Masempela Rural Health Centre,Southern,Kalomo,Health Centre,-17.25224809,26.93642358,1340,6790
1581,ZNS Airport Rural Health Centre,Lusaka,Chongwe,Health Centre,-15.307966,28.440925,24542,145256
1795,Kabilamwandi Health Post,Western,Kaoma,Health Post,-14.589764,23.977341,495,2107
2657,Minyanya Rural Health Center,North-Western,Mwinilunga,Health Centre,-11.723905,24.804897,922,3890
2932,Kabalenge Rural Health Center,Luapula,Nchelenge,Health Centre,-9.77021,28.86173,7353,25834
2977,Kabanda Rural Health Center,Luapula,Kawambwa,Health Centre,-9.480134,29.588465,1453,4532
3392,Kapisha Health Post,Muchinga,Shiwang'andu,Health Post,-11.184927,31.597433,437,1811
4019,Chilenga RuralHealth Centre,North-Western,Zambezi,Health Centre,-14.039146789938,23.73217453125,664,2331
4098,Lukulu District Hospital,Western,Lukulu,1st Level Hospital,-14.2444,23.1535,912,4350
2915,Filipo Health Post,Northern,Lunte,Health Post,-9.852365,30.747583,3157,11215
1299,Nampeyo Rural Health Centre,Southern,Monze,Health Centre,-16.2186191,27.65910013,7582,24173
3016,Munyele Health Post,Northern,Nsama,Health Post,-9.175756,30.172033,558,2183
1851,Matambazi Rural Health Centre,Eastern,Sinda,Health Centre,-14.420845,31.619376,4978,20268
3304,Mbereshi Mission Hospital,Luapula,Mwansabombwe,1st Level Hospital,-9.75308,28.796407,11947,37284
