facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
13606,Homa Hills Health Centre,Homa Bay,NA,Basic Health Centre,-0.35379,34.46833994,12067,50010
18127,Mubwekas Medical Clinic,Busia,NA,Medical Clinic,0.44173,34.14809,88659,208714
10756,Mukindu Dispensary,Nyandarua,NA,Dispensary,-0.20411,36.4253,11587,69201
16165,Your Family Clinic,Busia,NA,Medical Clinic,0.391192,34.1241,33563,186222
10851,New Mawingu Health Centre,Nyandarua,NA,Basic Health Centre,-0.33922,36.32301,18709,71406
10732,Mirangine Health Centre,Nyandarua,NA,Basic Health Centre,-0.177,36.24414,32200,102039
21401,Beyond Zero Nyandarua,Nyandarua,NA,Dispensary,-0.25628,36.37511,30484,76430
21400,St. Teresa Medical Clinic,Nyandarua,NA,Medical Clinic,-0.25625,36.37515,30486,76413
23255,St.Camillah Clinic,Nyandarua,NA,Medical Clinic,-0.2755,36.3695,28051,81193
21164,Njoroge Medical Clinic,Nyandarua,NA,Medical Clinic,-0.176,36.24414,32078,101362
23644,Harmony Medical,Nyandarua,NA,Medical Clinic,-0.299004,36.34452,23373,85595
16149,Tanaka Nursing Home,Busia,NA,Primary care hospitals,0.4525214,34.1227683,106961,177673
15082,Lopur (AIC) Dispensary (Turkana West),Turkana,NA,Dispensary,3.78752,34.9586,1858,9754
21484,Kavutiri Cfw Clinic,Embu,NA,Medical Clinic,-0.41504,37.5034,63504,220074
17564,Kiambogo Medical Clinic (Wanjohi),Nyandarua,NA,Medical Clinic,-0.33525,36.51321,22027,57495
21059,Namusala Dispensary,Busia,NA,Dispensary,0.32725,34.30559,49146,178081
26002,Igula Dispensary,Busia,NA,Dispensary,0.322289,34.24211,55217,187015
17165,Ikonzo Model Health Centre,Busia,NA,Basic Health Centre,0.34385,34.22547,52319,187736
15840,Bwaliro Dispensary,Busia,NA,Dispensary,0.37825,34.3162,46766,195057
24301,Annointed Hands Clinic,Kakamega,NA,Medical Clinic,0.2293815,34.6630111,61381,287097
20672,Mungungune Dispensary,Kakamega,NA,Dispensary,0.2442,34.59647,60317,261803
16111,Shikunga Health Centre,Kakamega,NA,Basic Health Centre,0.21743,34.49913,86537,277084
16121,Shitsitswi Health Centre,Kakamega,NA,Basic Health Centre,0.26325,34.50429,68534,297885
16116,Shiraha Health Centre,Kakamega,NA,Basic Health Centre,0.19682,34.57071,71250,286338
17158,Bukhalalire Dispensary,Busia,NA,Dispensary,0.31826,34.27498,48136,185296
15999,Manyala Sub County Hospital,Kakamega,NA,Primary care hospitals,0.1604,34.45262,53094,243551
16123,Shibanze Dispensary,Kakamega,NA,Dispensary,0.415591,34.529008,47696,232924
15931,Khalaba Health Centre,Kakamega,NA,Basic Health Centre,0.42734,34.54832,52338,217011
23271,Guardian Family Care Likuyani,Kakamega,NA,Medical Clinic,0.828152,35.120095,83455,214675
21935,Sheywe Dispensary,Kakamega,NA,Dispensary,0.46292,34.79732,46199,201288
17681,Manda Dispensary,Kakamega,NA,Dispensary,0.57174,34.86275,53509,211642
18779,Mugai Dispensary,Kakamega,NA,Dispensary,0.43183,34.80622,50063,211462
21922,Jumuia Hospitals Kakamega Clinic,Kakamega,NA,Medical Clinic,0.2739626,34.7586983,155865,371809
19357,Reddys Medical Clinic,Kakamega,NA,Medical Clinic,0.28014,34.71871,134006,356059
21434,Marie Stopes Kakamega Clinic,Kakamega,NA,Medical Clinic,0.28387,34.7522,155509,363512
25697,Emaira Dispensary,Kakamega,NA,Dispensary,0.26652,34.5991,55664,255679
14198,Amakuriat Dispensary,West Pokot,NA,Dispensary,2.27808,35.00542,9785,36235
20317,Onoch Dispensary,West Pokot,NA,Dispensary,1.46325,35.42293,13947,47414
15939,Khunyangu Sub County Hospital,Busia,NA,Primary care hospitals,0.337655,34.258132,51886,190870
15830,Burinda Dispensary,Busia,NA,Dispensary,0.3,34.22,52660,178160
19792,Kipipiri Medical Centre,Nyandarua,NA,Medical Clinic,-0.4713,36.50786,13180,69900
19791,Miharate Medical Clinic,Nyandarua,NA,Medical Clinic,-0.39978,36.492,20759,71937
25536,Tumaini Master Medical Clinic 1,Nyandarua,NA,Medical Clinic,-0.25396,36.29234,21963,98954
30720,Pcea Dispensary (Matura),Nyandarua,NA,Dispensary,-0.24911102,36.37500001,30673,74505
23550,Kihuho Dispensary,Nyandarua,NA,Dispensary,-0.177212,36.239914,32705,106713
30964,Mount Vernon Private,Nyandarua,NA,Medical Center,-0.36409,36.46771,16782,68520
19656,Amazing Grace M C,Nyandarua,NA,Medical Clinic,-0.13143,36.34941,22754,68560
17510,Muga Medical Clinic,Nyandarua,NA,Medical Clinic,-0.07333,36.36398,20884,80548
30988,Katito Medical Centre-Mbita,Homa Bay,NA,Medical Center,-0.4290852,34.2082869,30746,59520
16722,Burutu Dspensary,Kericho,NA,Dispensary,-0.13716,35.34669,34868,104255
12419,Kyumbe Dispensary (Makueni),Makueni,NA,Dispensary,-1.94614,37.4391,27321,89381
30989,Divine Sparkle Medical Centre,Homa Bay,NA,Medical Center,-0.5750985,34.3697185,17946,79778
25890,Tree of life healthcare limited,Narok,NA,Medical Clinic,-1.0896883,35.875465,53775,75576
10914,Oljororok Catholic Dispensary,Nyandarua,NA,Dispensary,-0.08009,36.27064,17655,87596
10803,Muwa M Clinic,Nyandarua,NA,Medical Clinic,-0.03794,36.29163,19655,119289
11009,Silibwet Health Centre (Nyandaruawest),Nyandarua,NA,Basic Health Centre,-0.03864,36.29032,19734,117835
10856,Ngano Health Centre,Nyandarua,NA,Basic Health Centre,-0.10927,36.27064,17910,78498
10671,Maina \u0026 Mwangi Health Centre,Nyandarua,NA,Basic Health Centre,-0.11858,36.3423,23056,71649
24548,Maryhill Medical Centre,Nyandarua,NA,Medical Clinic,-0.070363,36.36552,20750,82044
21698,West Oljoroorok Medical Clinic,Nyandarua,NA,Medical Clinic,0.006722,36.32008,42249,163574
18782,Chamuka (Cdf) Dispensary,Nyandarua,NA,Dispensary,-0.07599,36.36284,21057,79278
10509,Kasuku Health Centre,Nyandarua,NA,Basic Health Centre,-0.13497,36.37804,21322,62830
22537,Nyairoko Dispensary,Nyandarua,NA,Dispensary,-0.15836,36.31786,14355,82615
18781,Gatimu Health Centre,Nyandarua,NA,Basic Health Centre,0.01853,36.37357,85989,142468
13769,Manyatta (Sda) Dispensary,Homa Bay,NA,Dispensary,-0.50578,34.61985,32869,134625
23357,Gakirwe Dispensary,Tharaka Nithi,NA,Dispensary,-0.1809065,37.8192212,15340,62097
13643,Kager Dispensary,Homa Bay,NA,Medical Clinic,-0.56097,34.53711,30518,178573
12769,St Orsola Mission Hospital,Tharaka Nithi,NA,Primary care hospitals,-0.31621,37.90028,11833,41379
12188,Kanyuru Dispensary,Tharaka Nithi,NA,Dispensary,-0.13978,37.89414,15525,53084
19866,Obuya Health Centre,Homa Bay,NA,Basic Health Centre,-0.53,34.6,35727,134034
21118,Asumbi Teachers Training College,Homa Bay,NA,Medical Clinic,-0.6018,34.23737,7435,41331
17926,Homa Bay Community Medical Clinic,Homa Bay,NA,Medical Clinic,-0.53058,34.45572,59091,121889
17747,Good Shepherd Ang'Iya,Homa Bay,NA,Dispensary,-0.7341,34.52251,29858,146611
23633,Hometown Dermacare Centre,Homa Bay,NA,Medical Clinic,-0.52766,34.45605,58316,120977
24578,Tom Mboya University,Homa Bay,NA,Medical Center,-0.53061,34.46333,59784,124021
23803,Bay Pharm Opd \u0026 Optic Clinic,Homa Bay,NA,Medical Clinic,-0.52983,34.45561,58879,121595
19837,St Lukes Medical Clinic (Nyandarua),Nyandarua,NA,Medical Clinic,-0.47165,36.50896,13189,70684
23397,Osani Community Health \u0026 Development Centre,Homa Bay,NA,Medical Clinic,-0.55323,34.45283,62280,133735
22305,Homabay Central Medical Clinic,Homa Bay,NA,Medical Clinic,-0.529675,34.45675,58953,121808
30966,The Eagles Mission Medical Care,Nairobi,NA,Medical Clinic,-1.2634745,36.9171493,1510515,3462996
25179,Manyatta Community Nursing Home- Ndhiwa,Homa Bay,NA,Nursing Homes,-0.6757418,34.4144502,25381,98356
25079,SORI LAKESIDE HOSPITAL- NDHIWA,Homa Bay,NA,Nursing and Maternity Home,-0.7221118,34.3231261,27513,86781
13751,Magina Health Centre,Homa Bay,NA,Basic Health Centre,-0.69821,34.51851,32212,133405
18892,Ong'Amo Health Centre,Homa Bay,NA,Basic Health Centre,-0.495031,34.662471,29866,164490
16986,Nyalkinyi Health Centre,Homa Bay,NA,Basic Health Centre,-0.53279,34.49332,63835,136897
13902,Nyamasi Health Centre,Homa Bay,NA,Basic Health Centre,-0.62408,34.4521,29108,123318
19861,Koduogo Health Centre,Homa Bay,NA,Basic Health Centre,-0.572937,34.436881,39103,136317
27160,Prof.Lucas Community Health System Hospital,Homa Bay,NA,Nursing Homes,-0.7707272,34.3540673,26837,97566
23842,Milimani Medical Centre,Homa Bay,NA,Medical Clinic,-0.727426,34.3610196,30696,95420
13509,Bora Bora Clinic,Homa Bay,NA,Medical Clinic,-0.73072,34.36853,30898,96590
16983,Hope Compassionate (ACK) Dispensary,Homa Bay,NA,Dispensary,-0.53423,34.46021,60433,124718
20243,Port Florence (Ndhiwa),Homa Bay,NA,Medical Clinic,-0.73482,34.37116,31021,97028
13589,Got Kojowi Health Centre,Homa Bay,NA,Basic Health Centre,-0.74146,34.26536,23172,74127
17157,Masendebale Dispensary,Busia,NA,Dispensary,0.32557,34.37383,47142,184939
11991,Dwa Health Centre,Makueni,NA,Basic Health Centre,-2.39736,38.01381,19214,54006
12235,Kathonzweni Catholic Dispensary,Makueni,NA,Dispensary,-1.91371,37.73276,14001,44961
12645,Nganduri Dispensary,Embu,NA,Dispensary,-0.69406,37.59672,14053,56440
16253,Kitonyoni Dispensary,Makueni,NA,Dispensary,-1.95395,37.65402,8461,42033
17563,Care Medical Clinic (Geta Bush),Nyandarua,NA,Medical Clinic,-0.41361,36.58394,22915,47656
17186,Kadokony Dispensary,West Pokot,NA,Dispensary,1.27399,34.99752,10661,72443
19887,Nasira Dispensary,Busia,NA,Dispensary,0.44842,34.20905,48416,211970
17156,Bukalama Dispensary,Busia,NA,Dispensary,0.45067,34.18741,46471,247549
21539,Konjora Dispensary,Kilifi,NA,Dispensary,-3.58105101,39.807588,20595,133499
11713,Ngerenya Dispensary,Kilifi,NA,Dispensary,-3.51368,39.86228,26720,82787
11836,Takaungu Dispensary,Kilifi,NA,Dispensary,-3.68301,39.86112,19873,109170
11610,Mijomboni Dispensary,Kilifi,NA,Dispensary,-3.26951,40.00334,24327,104395
20771,Kambi ya Waya Dispensary,Kilifi,NA,Dispensary,-2.9224933,40.1399436,12662,38310
24120,Bore Imani Dispensary,Kilifi,NA,Dispensary,-2.8461602,40.0783559,3286,26133
11381,Meridian Hospital,Kilifi,NA,Primary care hospitals,-3.11844,40.06987,11834,83402
11493,Kiwandani Dispensary,Kilifi,NA,Dispensary,-3.619103,39.864441,78051,127267
11667,Mtondia Dispensary,Kilifi,NA,Dispensary,-3.57878,39.86885,58816,131090
11636,Mnarani Dispensary,Kilifi,NA,Dispensary,-3.644,39.8393,70508,127134
11447,Kadzinuni Dispensary,Kilifi,NA,Dispensary,-3.74511,39.81237,22780,86264
11758,Roka Maweni Dispensary,Kilifi,NA,Dispensary,-3.4436,39.92867,24195,59492
18482,Mavueni Dispensary,Kilifi,NA,Dispensary,-3.678,39.79902,23176,117106
16985,Oneno Health Centre,Homa Bay,NA,Basic Health Centre,-0.55689,34.54841,30624,168947
21135,Janeiro Nursing Home,Homa Bay,NA,Comprehensive Health Centre,-0.5483,34.507,43331,156826
13849,Ngegu Health Centre,Homa Bay,NA,Basic Health Centre,-0.49253,34.51017,28635,144019
13958,Obwanda Health Centre,Homa Bay,NA,Basic Health Centre,-0.47666,34.59013,33695,135082
13587,Gongo Health Centre.,Homa Bay,NA,Basic Health Centre,-0.52814,34.62109,34738,136411
19864,Nyawita Health Centre,Homa Bay,NA,Basic Health Centre,-0.57,34.6,37318,141873
22922,St.Teresa Asante Nagoya Dispensary,Homa Bay,NA,Dispensary,-0.607908,34.648767,46007,201801
13875,Nyagoro Health Centre,Homa Bay,NA,Comprehensive Health Centre,-0.51561,34.535474,36028,155667
