facility_code,facility_name,admin1,admin2,facility_type,latitude,longitude,pop_5km,pop_10km
1056160,Biyo-kulul Health Post,Somali Region,Sitti,Basic Health Post,9.5354558,41.418704,38896,76970
1015013,Biyo Kundi Health Post,Oromia Region,West Guji Zone,Basic Health Post,5.293884,38.011941,3308,13576
1054843,Biyolay Health Post,Somali Region,Korahay,Basic Health Post,7.4369895,43.8720525,2858,11333
1055922,Biyoley Health Post,Somali Region,Liben,Basic Health Post,3.98007,41.820501,6200,10904
1055146,Biyolow Health Post,Somali Region,Shebelle,Basic Health Post,5.9598974,43.5510181,44424,67576
1015018,Biyo Nagaya Health Post,Oromia Region,East Hararge Zone,Basic Health Post,9.2445717,41.4750267,31950,176052
1015019,Biyo Negaya Health Post,Oromia Region,East Hararge Zone,Basic Health Post,9.4193459,42.323355,43360,162858
1015020,Biyo Oda Health Post,Oromia Region,West Hararge Zone,Basic Health Post,8.4403047,40.546064200000004,7084,25499
1055061,Biyoolow Health Post,Somali Region,Shebelle,Basic Health Post,6.0808774,43.266372,3286,10889
1015022,Biyo Ramis Health Post,Oromia Region,East Hararge Zone,Basic Health Post,9.1761129,41.6166265,26992,159982
1059137,Biyo Rural Health post,Oromia Region,West Guji Zone,Basic Health Post,6.1906285,38.08956,13430,71566
1060207,Biyo Wegedi Health Post,Oromia Region,West Shewa Zone,Basic Health Post,9.489016,38.380994,24785,72050
1015025,Biyo Weraba Health Post,Oromia Region,East Hararge Zone,Basic Health Post,8.921250000000002,42.1743397,5058,24330
1075903,Biyu Basic Health Post,Amhara Region,South Wollo Zone,Basic Health Post,10.7805751,39.0106262,14767,47927
1005640,Biyyo Keraba Health Center,Oromia Region,West Hararge Zone,Health Center,9.3694774,41.1690689,15209,71123
1085686,Biza Drug Shop,Tigray Region,Eastern Zone,Drug Store,13.7900634,39.6033131,72022,120471
1085903,Bizet Health Center,Tigray Region,Eastern Zone,Health Center,14.2797168,39.2948636,26811,72656
1085948,Bizet Health post,Tigray Region,Eastern Zone,Basic Health Post,14.282803,39.2884138,27546,73528
1077579,Bizira  Health Post,Amhara Region,North Gojjam Zone,Basic Health Post,11.7697588,36.9181548,14622,74812
1074404,Bizra Health Post,Amhara Region,North Gojjam Zone,Basic Health Post,11.49457,36.718093,7640,27242
1078117,Bizrakanie Health post,Amhara Region,Awi Zone,Basic Health Post,11.0003769,36.4692028,30222,90183
1082763,Bizualem Drug Store,Amhara Region,North Gojjam Zone,Drug Store,11.4853311,37.3936229,8188,43246
1077891,Bizuayehu Drug Store,Amhara Region,Central Gondar Zone,Drug Store,12.3356231,37.2253847,49669,108242
1083351,Bizuayehu Drug Store,Amhara Region,Gondar Town Administration,Drug Store,12.5771632,37.460608,237530,346070
1082240,Bizuayehu Emshaw Drug Store,Amhara Region,North Shoa Zone,Drug Store,8.917005700000002,39.4177648,33414,67093
1076508,Bizuayew  Pharmacy,Amhara Region,Debre Tabor town Administration,pharmacy,11.8565054,38.0228679,120640,176729
1045013,Bizunesh Sankura Medium Clinic,Central Ethiopia Region,Silte Zone,Medium Clinic,7.566434163,38.18253037,32866,107401
1082360,Bizuye Primary Clinic,Amhara Region,South Wollo Zone,Primary Clinic,11.5650037,39.1343678,15047,62374
1081742,Bkat Drug Store,Amhara Region,South Wollo Zone,Drug Store,10.74269438,38.75145908,47753,97059
1081609,Bkat Primary Clinic,Amhara Region,South Wollo Zone,Primary Clinic,11.1461563,39.8959342,12524,37964
